,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
55,3.2,3.1,3.1,3.1,3.1,3.2,3.2,3.2,3.1,3.1,3.2,3.1,3.2,3.1,3.1,3.1,3.1,3.0,3.0,3.1,3.0,3.0,3.1,3.0,3.0,3.0,3.1,3.1,3.1,3.1,3.1,3.0
56,3.1,3.0,3.1,3.1,3.1,3.1,3.1,3.2,3.2,3.1,3.2,3.1,3.2,3.1,3.1,3.1,3.1,3.1,3.1,3.0,3.0,3.0,3.0,3.1,3.0,3.0,3.1,3.0,3.0,3.0,3.0,3.0
57,3.1,3.1,3.1,3.0,3.0,3.1,3.1,3.2,3.1,3.2,3.2,3.2,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.0,3.1,3.0,3.0,3.0,3.0,3.1,3.0,3.0,2.9,2.9
58,3.1,3.0,3.1,3.1,3.1,3.1,3.2,3.2,3.1,3.2,3.2,3.2,3.1,3.2,3.2,3.1,3.1,3.1,3.2,3.1,3.1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.9
59,3.2,3.2,3.0,3.1,3.1,3.1,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.1,3.1,3.1,3.1,3.1,3.2,3.1,3.1,3.0,3.0,3.0,2.9,3.0,3.0,2.9,2.9,2.8,2.8
60,3.2,3.2,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.2,3.1,3.2,3.1,3.1,3.0,3.0,3.1,3.0,3.0,3.1,3.0,3.1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.1
61,3.1,3.1,3.0,3.1,3.1,3.1,3.2,3.1,3.0,3.0,3.2,3.0,3.1,3.0,3.0,3.1,3.0,3.1,3.0,3.0,3.0,3.0,3.0,3.1,3.1,3.1,3.1,3.0,3.0,3.2,3.2,3.2
62,3.0,3.0,3.1,3.0,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.0,3.0,3.0,3.1,3.0,3.0,3.0,3.2,3.1,3.0,3.0
63,3.0,3.0,3.0,3.1,3.0,3.1,3.1,3.1,3.1,3.1,3.2,3.2,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.0,3.0,3.1,3.1,3.1,3.1,3.1,3.0,3.1,3.1,3.1,3.0
64,3.0,3.0,3.1,3.1,3.0,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.0,3.0,3.1,3.0,3.1,3.0,3.1,3.1,3.0,3.0
